PassengerId,Survived_pred,Prob
892,0,0.15946677276503748
893,0,0.41752442596010375
894,0,0.13050683787283834
895,0,0.14665419602815796
896,0,0.463420923889699
897,0,0.18007764851781596
898,1,0.8539339187828948
899,0,0.1691122227532075
900,1,0.7836954492415912
901,0,0.10299249836376473
902,0,0.14630508899196848
903,0,0.15720812893386613
904,1,0.8918445693300522
905,0,0.16032198148758775
906,1,0.9138110230718856
907,1,0.8930132107640717
908,0,0.13662038513073035
909,0,0.17160899988232012
910,0,0.4220067822261166
911,1,0.5329237916617334
912,0,0.27206076122832545
913,1,0.5245153990951009
914,1,0.9052898279692524
915,0,0.28864502493000016
916,1,0.5190520807503147
917,0,0.13888503772894056
918,1,0.8983549735057363
919,0,0.1664323474165891
920,0,0.15627433703448232
921,0,0.15707361574792583
922,0,0.1558763155864938
923,0,0.13891206484680116
924,0,0.34125767833794485
925,0,0.37224730126740735
926,0,0.2172204231975386
927,0,0.1832404459630277
928,1,0.5208108099486407
929,1,0.5465597173719292
930,0,0.14719656580000023
931,0,0.26271054010056977
932,0,0.11022438371321505
933,0,0.15702933034259542
934,0,0.15769115441871248
935,1,0.8645414294523104
936,1,0.9148720402040252
937,0,0.14508507739461837
938,0,0.1599344972279794
939,0,0.1537981832543247
940,1,0.8171306512407766
941,0,0.5123927489840477
942,0,0.1820739855983642
943,0,0.13399041995927813
944,1,0.7455466815678922
945,1,0.8567779922574553
946,0,0.13308131229582731
947,0,0.1297486369755273
948,0,0.15392329014244108
949,0,0.14472730987685792
950,0,0.11740317022433283
951,1,0.8287904659335434
952,0,0.16072690569079498
953,0,0.14668868964636586
954,0,0.15641360744240432
955,1,0.8626740888762937
956,0,0.5134467818487243
957,1,0.876326394151638
958,1,0.8606302185993636
959,0,0.15747879234131743
960,0,0.15511344974307453
961,0,0.2535979785442814
962,1,0.8624847514810988
963,0,0.14841446700834882
964,1,0.5179247350421469
965,0,0.1572697599843382
966,1,0.8558784821182406
967,0,0.16090525486101656
968,0,0.14651116653849683
969,1,0.8052194346277156
970,0,0.14440987314216241
971,1,0.8624847514810988
972,1,0.6464714260850445
973,0,0.5
974,0,0.1567902824819
975,0,0.14630508899196848
976,0,0.13343565423323314
977,0,0.15074330189465251
978,1,0.8600972757706872
979,1,0.5601532856233901
980,1,0.8583914427723212
981,1,0.8740939315297832
982,0,0.4590775715162977
983,0,0.14614436623744886
984,1,0.9222446831906492
985,0,0.14651116653849683
986,0,0.16417426526307097
987,0,0.14491658948759464
988,1,0.7070066519022717
989,0,0.14721608607464493
990,1,0.5485134909676829
991,0,0.1518808975639046
992,1,0.8997566273247535
993,0,0.14041628634030837
994,0,0.1537981832543247
995,0,0.14503253972303948
996,1,0.8169109806055076
997,0,0.170564086940901
998,0,0.15538322497825238
999,0,0.1537981832543247
1000,0,0.1474082710220096
1001,0,0.16158062301012965
1002,0,0.1339511034648063
1003,1,0.8584284311844002
1004,1,0.8569199278416669
1005,1,0.8604199358618788
1006,1,0.8088515651060402
1007,0,0.2072385646631294
1008,0,0.15513152396265534
1009,1,0.8382180306532111
1010,0,0.1626213860440178
1011,1,0.8585174271749553
1012,1,0.855820565325486
1013,0,0.15454425087401433
1014,1,0.9013496634229478
1015,0,0.14545317564922658
1016,0,0.1537981832543247
1017,1,0.7411661667741851
1018,0,0.14674691206370633
1019,1,0.7785949091802016
1020,0,0.15618834609943916
1021,0,0.14544598297160807
1022,0,0.15069519258237607
1023,0,0.15805941323798112
1024,0,0.2938512943500913
1025,0,0.1459853267645614
1026,0,0.15768550243574342
1027,0,0.1451912705676975
1028,0,0.1576526022476275
1029,0,0.1433831174501303
1030,1,0.5360464918818175
1031,0,0.20521374675349557
1032,0,0.21120250303440669
1033,1,0.8821102901264235
1034,0,0.2555622020816937
1035,0,0.15447093232073064
1036,0,0.15670478036176136
1037,0,0.11646506881508574
1038,0,0.15707856276570278
1039,0,0.1470751194618656
1040,0,0.15702933034259542
1041,0,0.13234219155971258
1042,1,0.8879991077508368
1043,0,0.15632773161728813
1044,0,0.15497301182712478
1045,0,0.5053005606084537
1046,0,0.09809723547502772
1047,0,0.14479877876138825
1048,1,0.8539132775884481
1049,1,0.5353290770865724
1050,0,0.15670478036176136
1051,1,0.6211269496901621
1052,1,0.8583702769105515
1053,1,0.613189104147893
1054,1,0.8616225154064484
1055,0,0.14512820872039303
1056,0,0.15571505006767342
1057,0,0.4433013001346115
1058,0,0.17064699391631394
1059,0,0.09465334587070597
1060,1,0.855393386373512
1061,1,0.543313812911788
1062,0,0.14584668657104694
1063,0,0.15695674693570652
1064,0,0.1216629509029908
1065,0,0.15577218119217
1066,0,0.1541132104354426
1067,1,0.9220432314546312
1068,1,0.884483892694905
1069,0,0.26658657898125304
1070,1,0.6671105142893204
1071,1,0.6550877374431324
1072,0,0.14440987314216241
1073,0,0.24181272857652467
1074,1,0.894006351653416
1075,0,0.1537981832543247
1076,1,0.880642037716255
1077,0,0.1571991337553064
1078,1,0.9223566371468083
1079,0,0.1151553628781577
1080,0,0.1571237180356996
1081,0,0.15506859638203313
1082,0,0.1384152544417759
1083,0,0.15701870803641407
1084,0,0.36064509146092355
1085,0,0.13022666107668637
1086,1,0.8155807631843077
1087,0,0.15161205369487102
1088,1,0.6070959310869506
