id,Machine Failure Pred,Probability
136429,0,0.0023139000070112685
136430,0,0.0012696907406550436
136431,0,0.00279598354803988
136432,0,0.003623186456978629
136433,0,0.003831234383734268
136434,0,0.0027967735251295594
136435,0,0.0035770452609046035
136436,0,0.005311524028195783
136437,0,0.0011503451706606617
136438,0,0.0012709306206417467
136439,0,0.002435382299825757
136440,0,0.002549133556638866
136441,0,0.0012121163923430945
136442,0,0.0018621563122646733
136443,0,0.0022240638541966757
136444,0,0.005301545749024518
136445,0,0.001089704165455268
136446,1,0.9939293542291825
136447,0,0.002418718344180992
136448,0,0.0016278131183182607
136449,0,0.006190898395966554
136450,0,0.003977253078353981
136451,0,0.018365890823321754
136452,0,0.018592593625864677
136453,0,0.0038459114279073203
136454,0,0.0015356893413807952
136455,0,0.0016433911584028064
136456,0,0.006397287306099707
136457,0,0.006337027894346684
136458,0,0.0048410199242835015
136459,0,0.0035645285741833788
136460,0,0.0031353550316254955
136461,0,0.001343264573356413
136462,0,0.01788341065635809
136463,0,0.0016919255683405122
136464,0,0.0027570488227986476
136465,0,0.001679884605574415
136466,0,0.0022778965734241074
136467,0,0.0012898073864816401
136468,0,0.002878212873449298
136469,0,0.0015357497207375257
136470,0,0.0024822536019384455
136471,0,0.008710766577580027
136472,0,0.006497144713171115
136473,0,0.0026772988320310585
136474,0,0.0020540543956599515
136475,0,0.0038152672182722694
136476,0,0.006362634874998341
136477,0,0.002457632707596501
136478,0,0.0022103993598053544
136479,0,0.001490021288015883
136480,0,0.005527793641918966
136481,0,0.002470608284940681
136482,0,0.026357517600497295
136483,0,0.0035331670565703554
136484,0,0.001215444098879216
136485,0,0.0015449432053993696
136486,0,0.002153762532376667
136487,0,0.0015232811034185118
136488,0,0.004177146138300168
136489,0,0.0011650337941921396
136490,0,0.022223078951980068
136491,0,0.003955700607025205
136492,0,0.003451816308882498
136493,0,0.0034953891258645434
136494,0,0.0012017827178445314
136495,0,0.0025023137387074263
136496,0,0.004488554225806533
136497,0,0.0022739785788681182
136498,0,0.009167709459918426
136499,0,0.0014802030883759205
136500,0,0.0008870723813272122
136501,0,0.0015014121553945108
136502,0,0.0053718139770997765
136503,0,0.0030079561833494506
136504,0,0.0013420996933343802
136505,0,0.0012222222277499812
136506,0,0.0027336484143982496
136507,0,0.0007657307961836105
136508,0,0.001240058710929109
136509,0,0.004034001194210143
136510,0,0.0016792110416312418
136511,0,0.009562804131471142
136512,0,0.0010657183004728413
136513,0,0.005897638999965908
136514,0,0.0021046108942499846
136515,0,0.0025069839617644857
136516,0,0.0033158169675407646
136517,0,0.0019000800830625644
136518,0,0.0016921189137195885
136519,0,0.002806685249103049
136520,0,0.002232604011443794
136521,0,0.0018380720201118827
136522,0,0.002893009284482237
136523,0,0.0012339512550277865
136524,0,0.0014491166635053482
136525,0,0.004602779560030788
136526,0,0.005989515933427735
136527,0,0.007061853461868168
