PassengerId,Survived_pred,Prob
892,0,0.048004329004329015
893,0,0.31
894,0,0.16780311892270092
895,0,0.10030460634137096
896,1,0.7
897,0,0.0
898,0,0.36
899,0,0.013636363636363637
900,1,1.0
901,0,0.17
902,0,0.029779581367422026
903,0,0.2488311688311688
904,1,1.0
905,0,0.4319837662337664
906,1,1.0
907,1,1.0
908,0,0.015717056769688348
909,0,0.14472494172494174
910,0,0.06416666666666666
911,1,1.0
912,0,0.21833333333333332
913,0,0.037436507936507935
914,1,0.82
915,0,0.07
916,1,0.91
917,0,0.05
918,1,1.0
919,0,0.14472494172494174
920,1,0.789125097125097
921,0,0.165
922,0,0.4319837662337664
923,0,0.4441666666666667
924,1,0.96
925,0,0.2
926,1,0.7283333333333333
927,0,0.191764986002989
928,0,0.08083333333333333
929,0,0.04
930,0,0.13246657509157508
931,1,0.6857954545454544
932,1,0.5225
933,0,0.3604115296468236
934,0,0.18158189033189032
935,1,0.9118518330224984
936,1,1.0
937,0,0.49768755917285346
938,0,0.40275000000000005
939,0,0.12577533328384716
940,1,1.0
941,1,0.8983333333333333
942,0,0.21333333333333332
943,0,0.01
944,1,0.98
945,1,0.95
946,0,0.01
947,0,0.0
948,0,0.029779581367422026
949,0,0.0
950,0,0.06
951,1,1.0
952,0,0.029779581367422026
953,0,0.034541176470588235
954,0,0.12577533328384716
955,1,0.9751338383838385
956,0,0.42
957,1,0.84
958,1,0.8355
959,0,0.005
960,0,0.006666666666666666
961,1,0.91
962,1,0.5700937763217176
963,0,0.029779581367422026
964,1,0.7244999999999999
965,0,0.004
966,1,1.0
967,0,0.01
968,0,0.08716592558454261
969,1,0.97
970,0,0.12815038136579354
971,1,0.5700937763217176
972,0,0.03
973,0,0.28
974,0,0.2488311688311688
975,0,0.029779581367422026
976,0,0.17252389814348013
977,0,0.03
978,1,0.8355
979,0,0.08083333333333333
980,1,0.5700937763217176
981,0,0.04893939393939394
982,0,0.13
983,0,0.11387787212787207
984,1,1.0
985,0,0.08716592558454261
986,0,0.2488311688311688
987,0,0.4068492063492063
988,1,1.0
989,0,0.49768755917285346
990,1,0.5395
